"","서울","부산","대구","인천","광주","대전","울산","수원","청주","제주","전주"
"..1111",2408.33333333333,2585,2417.5,2280,2340,2425,2980,2780,2980,2990,2280
"..1112",2333.33333333333,2585,2417.5,2280,2340,2425,3380,2780,2980,2990,2280
"..1113",2338.33333333333,2585,2520,2280,2415,2425,3380,2780,2980,2990,2280
"..1114",2355,2585,2445,2280,2465,2425,3380,2780,2980,2990,2280
"..1115",2355,2585,2445,2280,2390,2250,3380,2750,2980,2990,2280
"..1116",2350,2585,2445,2280,2390,2250,3380,2750,2980,2990,2280
"..1117",2355,2585,2445,2280,2390,2250,2980,2750,2980,2990,2280
"..1118",2355,2585,2620,2280,2565,2250,2980,2750,2980,2990,2280
"..1119",2388.33333333333,2710,2520,2500,2565,2250,2980,2740,2980,2990,2280
"..1120",2388.33333333333,2710,2520,2500,2565,2250,2980,2740,2980,2990,2280
"..1121",2388.33333333333,2710,2462.5,2500,2465,2250,2280,2740,2980,2990,2280
"..1122",2235,2685,2562.5,2500,2565,2250,2280,2740,2980,2990,2280
"..1123",2166.66666666667,2685,2562.5,2500,2565,2250,2280,2740,2500,2990,2280
"..1124",2166.66666666667,2585,2562.5,2500,2565,2250,2280,2740,2250,2990,2280
"..1125",2166.66666666667,2585,2562.5,2500,2565,2250,2280,2740,2250,2990,2280
"..1126",2166.66666666667,2585,2562.5,2500,2565,2250,2280,2740,2250,2990,2280
"..1127",2216.66666666667,2585,2562.5,2180,2565,2250,2280,2740,2250,2990,2280
"..1128",2216.66666666667,2585,2562.5,2500,2440,2250,2280,2650,2250,2990,2280
"..1129",2216.66666666667,2560,2367.5,2280,2440,2250,2280,2650,2250,2990,2280
"..1130",2216.66666666667,2560,2367.5,2280,2440,2250,2280,2650,2250,2990,2280
"..1131",2320,2410,2367.5,2500,2390,2250,2280,2650,2250,2990,2280
"..1132",2320,2410,2367.5,2500,2540,2250,2280,2650,2250,2990,2280
"..1133",2233.33333333333,2410,2537.5,2500,2440,2250,2280,2650,2250,2180,2280
